kingdom;phylum;class;order;family;genus;species;taxa
k__Bacteria;p__Firmicutes;c__CFGB9115;o__OFGB9115;f__FGB9115;g__GGB4617;s__GGB4617_SGB6392;t__SGB6392
k__Bacteria;p__Firmicutes;c__CFGB9119;o__OFGB9119;f__FGB9119;g__GGB13779;s__GGB13779_SGB65075;t__SGB65075
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3859;s__GGB3859_SGB5234;t__SGB5234
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB79920;s__GGB79920_SGB4920;t__SGB4920
k__Bacteria;p__Firmicutes;c__CFGB1337;o__OFGB1337;f__FGB1337;g__GGB3183;s__GGB3183_SGB4206;t__SGB4206
k__Bacteria;p__Candidatus_Melainabacteria;c__CFGB2104;o__OFGB2104;f__FGB2104;g__GGB5994;s__GGB5994_SGB8617;t__SGB8617
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus_timonensis;t__SGB5741
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_lwoffii;t__SGB10405
k__Bacteria;p__Firmicutes;c__CFGB2840;o__OFGB2840;f__FGB2840;g__GGB9091;s__GGB9091_SGB106149;t__SGB106149
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__GGB48227;s__GGB48227_SGB66234;t__SGB66234
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_SGB1635;t__SGB1635
k__Bacteria;p__Firmicutes;c__CFGB76359;o__OFGB76359;f__FGB76359;g__GGB4690;s__GGB4690_SGB6488;t__SGB6488
k__Bacteria;p__Bacteroidetes;c__CFGB629;o__OFGB629;f__FGB629;g__GGB1493;s__GGB1493_SGB2068;t__SGB2068
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__GGB2732;s__GGB2732_SGB58358;t__SGB58358
k__Bacteria;p__Firmicutes;c__CFGB31455;o__OFGB31455;f__FGB31455;g__GGB4699;s__GGB4699_SGB6501;t__SGB6501
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3424;s__GGB3424_SGB4551;t__SGB4551
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_SGB2302;t__SGB2302
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_arboriphilus;t__SGB701
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Marseilla;s__Marseilla_massiliensis;t__SGB1592
k__Bacteria;p__Firmicutes;c__CFGB1763;o__OFGB1763;f__FGB1763;g__GGB4535;s__GGB4535_SGB6249;t__SGB6249
k__Bacteria;p__Firmicutes;c__CFGB3026;o__OFGB3026;f__FGB3026;g__GGB9508;s__GGB9508_SGB14905;t__SGB14905
k__Bacteria;p__Firmicutes;c__CFGB2861;o__OFGB2861;f__FGB2861;g__GGB9141;s__GGB9141_SGB14075;t__SGB14075
k__Bacteria;p__Firmicutes;c__CFGB1800;o__OFGB1800;f__FGB1800;g__GGB4773;s__GGB4773_SGB6607;t__SGB6607
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__GGB1221;s__GGB1221_SGB1590;t__SGB1590
k__Bacteria;p__Proteobacteria;c__CFGB2394;o__OFGB2394;f__FGB2394;g__GGB6544;s__GGB6544_SGB9242;t__SGB9242
k__Bacteria;p__Bacteroidetes;c__CFGB9397;o__OFGB9397;f__FGB9397;g__GGB27885;s__GGB27885_SGB40319;t__SGB40319
k__Bacteria;p__Firmicutes;c__CFGB2946;o__OFGB2946;f__FGB2946;g__GGB9283;s__GGB9283_SGB14236;t__SGB14236
k__Bacteria;p__Proteobacteria;c__CFGB2401;o__OFGB2401;f__FGB2401;g__GGB6584;s__GGB6584_SGB9305;t__SGB9305
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_sp_AM23_20;t__SGB4950
k__Bacteria;p__Firmicutes;c__CFGB76581;o__OFGB76581;f__FGB76581;g__GGB75022;s__GGB75022_SGB47502;t__SGB47502
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__GGB42711;s__GGB42711_SGB59916;t__SGB59916
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus_SGB15189;t__SGB15189
